0	@badgerwatcher1 if folks vote #liberaldemocrats or #greens is a waste goes all to help #tories win = #badgercull Pls Vote #Labour 4 #badgers
1	Happy 72nd Birthday to former @BadgerMBB coach Dick Bennett. He led the 2000 #Badgers to the Final Four.
2	From last night: #Badgers grinding through the spring, Stave talks about picks. http://t.co/bwIgcYAZAf
3	.@MattTegenkamp is halfway through the @bostonmarathon with a time of 1:04.48 #Badgers
4	@nick_rakocevic1 Hope the #Badgers are on the top of your list. Good class coming in this year. You will headline 2016 class. Back 2 Final 4
5	NFU disappointed at vets stance on shooting #badgers http://t.co/xMFLDrupWU @domdyer70 #badgermonday
6	#Badgers Servais Checks Out Wisconsin - Already holding one offer and hearing from several Division 1 schoo... http://t.co/PTG2kXJikN
7	Not voting? "Your costing my life," says Mr &amp; Mrs Brock the #Badgers http://t.co/tvwLzx2j17 #torycull Time to arm the badgers methinks?
8	#Badgers held an extended scrimmage on Sunday. Get the latest from Football Insider http://t.co/qYlR0QpCWF (VIP)
9	#Badgers held an extended scrimmage on Sunday. Get the latest from Football Insider http://t.co/iypqAGTZxz (VIP)
10	@Mary4Wakefield add #labour will end #tories awful #badgercull...#register2015 VOTE #LABOUR to SAVE THE #BADGERS #badgermonday
11	Free: Ashwaubenon junior OL Airon Servais is excited about where he currently stands with the #Badgers http://t.co/ADJTy7IS17
12	Never Forget, here are all the relevant stats from yesterday's #Badgers football scrimmage: http://t.co/zEkfZwKdUj
13	ICYMI, here are all the relevant stats from yesterday's #Badgers football scrimmage: http://t.co/flB2yMgEmw
14	Defense ahead of offense in #Badgers' football acrimmage, per @Jason_Galloway. http://t.co/P0QEbk36oB
15	B1G 2016 Recruiting Update #Badgers Ranked 46th nationally by Scout, 52nd by 247 and 51st by Rivals with 3 commits.
16	It is literally impossible for me to humblebrag. #Badgers #TheDon
17	Vets call for an end to shooting of badgers #Badgers http://t.co/xr8jVpKdvL http://t.co/PEMxPHenfV
18	@CarolineFlintMP @meaglemp @HuffingtonPost I hope &amp; pray #Labour wins to save the #badgers #stopthecull #register2015 #GE2015 #badgermonday
19	This rainy day in #madison, come by The Crossing to #study! We've got hot #cocoa #coffee &amp; #tea all #FREE for students! #UWMadison #badgers
20	Forget the miles, just remember the glory. Good luck to all the #Badgers running in the @bostonmarathon today! http://t.co/aUZnajYUNl
21	Free: Mount Horeb (WI) junior quarterback Max Meylor checks out #Badgers practice Sunday http://t.co/wlFC63zban
22	3-star OT Chase Behrndt has a great visit to Wisconsin on Sunday http://t.co/1qpV031StV (VIP) #Badgers
23	#Badgers Local QB Checks out Wisconsin - Holding the Badgers in high regard since he was young, Mount Horeb... http://t.co/vD2irV4clW
24	From many reports, Corey Clement and T.J. Edwards, among other #Badgers, scrimmaged well Sunday: http://t.co/pVNyT84Nnz
25	From many reports, Corey Clement and T.J. Edwards, among other #Badgers, scrimmaged well Sunday: http://t.co/q1w4WVLljk
26	#Badgers move to the front for 4-star OLB Noah Burks after Sunday's visit/offer http://t.co/S5jGddqIha (VIP)
27	#Badgers move to the front for 4-star OLB Noah Burks after Sunday's visit/offer http://t.co/8bVU3k8smY (VIP)
28	Vets call for an end to shooting of badgers #Badgers http://t.co/giW7JShvYb http://t.co/9GTIYBfIjt
29	#Negative #badgers #Badvibes #LoL
30	Badgers to cull Britain's Tories http://t.co/L2Fp6Iy6uF #badgers #cull #badgers cull #Tories #badgersculltories
31	"Doing more with less" equates to helping players improve. Smart recruits take notice. #Badgers http://t.co/hGYooFH9gr
32	Inside the @ZimbrickBGWest #Badgers Blog: Our practice report from yesterday's scrimmage: http://t.co/hXL6d6JlhB
33	Good luck to former #Badgers standout @MattTegenkamp, who's running in today's @bostonmarathon! http://t.co/PqKHIOr3aU
34	LAST DAY for #Badgers Vols to register for YSA Field Day on 5/9 Use Promo 'wisconsin2015' \xbb http://t.co/TZp5T2B5mO http://t.co/alGzUTUgWe
35	@LangtonLangton @domdyer70 Same people who want to kill #badgers also want to kill #foxes #Tories the party of #bloodsport Get rid of them
36	#Badgers JUCO Transfer Serge Trezy Given Chance to Shine http://t.co/4EQ55lJijD
37	#Badgers football: Defense outperforms offense in scrimmage http://t.co/5s5FFi4AW8 http://t.co/DFoRB4g6NH
38	#Badgers football: Defense outperforms offense in scrimmage http://t.co/ih2T4xqyNb http://t.co/PJdEQPpbkp
39	Stuck inside today so thought I'd tune into @FubarRadio &amp; have a listen to @mrstevenallen \ud83d\udc4d\ud83c\udffb #ilike #SupportYourPeers #radio #badgers
40	PODCAST: The challenge of covering the #Badgers in the Paul Chryst era http://t.co/0rn2lmJbL4
41	#badgermonday 3 https://t.co/g6ifSur4gv #stopthecull #badgers #keeptheban #Greens http://t.co/jpK3Lyn3wn
42	Badgers to cull Britain's Tories http://t.co/L2Fp6Iy6uF #badgers #cull #badgers cull #Tories #badgersculltories
43	Log On To http://t.co/DRuKIoTetY | The Official Site of DJ Black Haze | #Badgers #OnWisconsin #UW #Wisconsin
44	#BadgerMonday #StopTheCull #Badgers #ProtectOurWildlife #CullTheTories #KillTheCull #magnificentcreatures http://t.co/hQBLe9z7Jq
45	Vets call for an end to #shooting of #badgers http://t.co/RLZoVYdvsG http://t.co/KAvkFWO8vN
46	#Badgers Vitto is the future (lol)
47	Vets call for an end to shooting of #badgers http://t.co/4J45a6YMpN #BovineTB #health #agriculture http://t.co/L1almOAiah
48	#badgers tho
49	@GregJR__ Hope you come to madison! No environment like camp randall! https://t.co/m7HZ8olnJA #Badgers
50	@nick_rakocevic1 #Badgers
51	Two for Tuesday! @KentYouthLeague U14 #TheMillers v #ThamesmeadTown and U15 #TheMillers v #AFCAllstars #Badgers Both ko at 6.30pm #COYM
52	It was a #BigWeekend 4 #badgers:do read young @GeorgiaLocock's #wildlife blog https://t.co/oVMqOe9IbA \u2026 #badgermonday http://t.co/oNd5NPBsAE
53	Photos: Not much reason for Badgers to be merry in loss to Terrapins http://t.co/WqavKQX8H3 #sports #badgers #be
54	In a town divided by badgers, politics isn\u2019t black and white http://t.co/mSzuP15NC5 #politics #badgers @Stroud_neil @DecencyCommon
55	Badgers sports: Tennis teams tumble in regular-season finales; men's golf 10th http://t.co/5mM8N4htmj @chatsports #Badgers #NCAA
56	Badgers to cull Britain's Tories http://t.co/L2Fp6Iy6uF #badgers #cull #badgers cull #Tories #badgersculltories
57	#Wisconsin #Badgers #Apron http://t.co/MfKijnHbnU $16.99 #amazoncart
58	Probably not quite ready 2 give up yr day job! You'll need some work be4 U do stand up. LoL #Packers #Badgers #UCal https://t.co/fY4j2IZUen
59	#Badgers sports: Tennis teams tumble in regular-season finales; men's golf 10th http://t.co/oe2O2KhTJz
60	#Badgers sports: Tennis teams tumble in regular-season finales; men's golf 10th http://t.co/rOnUthGqog
61	New Wisconsin football coach Chryst pushing team to work harder http://t.co/Q9izOIw0Mv @chatsports #Badgers #NCAA
62	can't wait to see @Tr33top_T4LL in a #Badgers uniform
63	@nick_rakocevic1 #badgers = perfect fit
64	#Badgers  https://t.co/FBbmCEZXru
65	Calling all #Wisconsin #Badgers #fans Get ready for #Collegegameday here http://t.co/O4TVBVyb5K  #CFB #NCAA #ESPN http://t.co/3I0K7YUb2V
66	#Wisconsin #Badgers #Collegiate Flanker II Full Zip Fleece #Jacket http://t.co/bc2BqNTRN1 #amazoncart #christmaslist
67	On the rise \u2b06\ufe0f. #OnWisconsin #Next #Badgers http://t.co/5veIbgUdz4 http://t.co/IhAomnQaac
68	In the #Badgers notes you'll read about why Stave is throwing picks this spring. Interesting. http://t.co/bwIgcYAZAf
69	@dekker you guys played your asses off and beat the best team already anyways ill take the win over kansas more than the duke loss #badgers
70	#Badgers notes, with Chryst pushing team through grinding practices: http://t.co/bwIgcYAZAf
71	@DocRob84 There's plenty more great days in Madison to come! #OnWisconsin #Badgers
72	#badgers  https://t.co/2fwMWphgRI
73	Cab driver: Wisconsin, you beat UK. Yes, yes we did. #badgers
74	@Buccigross Turris/Gilbert #Badgers #bucciovertimechallenge
75	Goodnight from Madison, WI\ud83d\udc04 #dairyland, #wisconsin, #madison, #badgers, #midwest, #workday,\u2026 https://t.co/rAeDpyKsTt
76	It's so late, but I'm still so depressed the Badgers lost to duke #Badgers #basketball #sad
77	Roller coaster ride today. @GolfWatson6 @MattyJ_Golf leading the charge. Stroke averages for Ross, Watson, and Wajda fall.  #badgers
78	@BauerHockey @Buccigross #bucciovertimechallenge : Turris / Gilbert #Badgers
79	#Badgers WR coach Gilmore on McEvoy: Obviously he is a tremendous athlete and has the ability to play either side.
80	@Buccigross #BucciOvertimeChallenege Turris/Gilbert #Badgers #CollegeHockey
81	@Buccigross #bucciovertimechallenge Turris / Gilbert #Badgers
82	#bucciovertimechallenge Kyle Turris - Ottawa, Tom Gilbert - Montreal. #Badgers @Buccigross
